CUSTOMATTR15,SUMMARY,LASTOCCURRENCE,CLEARTIMESTAMP
BBSDR09,ERI-2G CELL DOWN,14/10/2020 18:36,1/1/1970 6:00
BBSDR09,ERI-2G CELL DOWN,14/10/2020 18:36,1/1/1970 6:00
BBSDR09,ERI-2G CELL DOWN,14/10/2020 18:36,1/1/1970 6:00
BBSDR09,ERI-2G CELL DOWN,14/10/2020 18:36,1/1/1970 6:00
CGSKD81,ERI-2G CELL DOWN,14/10/2020 22:58,1/1/1970 6:00
CGSKD81,ERI-2G CELL DOWN,14/10/2020 22:58,1/1/1970 6:00
CGSKD81,ERI-2G CELL DOWN,14/10/2020 22:58,1/1/1970 6:00
DHBDD44,ERI-2G CELL DOWN,14/10/2020 0:13,14/10/2020 4:48
DHBDD44,ERI-2G CELL DOWN,14/10/2020 0:13,14/10/2020 4:48
DHBDD44,ERI-2G CELL DOWN,14/10/2020 0:13,14/10/2020 4:48
DHBDD44,ERI-2G CELL DOWN,14/10/2020 0:13,14/10/2020 4:48
DHBDD44,ERI-2G CELL DOWN,14/10/2020 0:13,14/10/2020 4:48
DHBDD44,ERI-2G CELL DOWN,14/10/2020 0:13,14/10/2020 4:48
DHDHR32,ERI-2G CELL DOWN,14/10/2020 0:16,14/10/2020 0:36
DHDHR32,ERI-2G CELL DOWN,14/10/2020 0:16,14/10/2020 0:36
DHDHR32,ERI-2G CELL DOWN,14/10/2020 0:16,14/10/2020 0:36
DHDHR32,ERI-2G CELL DOWN,14/10/2020 1:38,14/10/2020 1:57
DHDHR32,ERI-2G CELL DOWN,14/10/2020 1:38,14/10/2020 1:57
DHDHR32,ERI-2G CELL DOWN,14/10/2020 1:38,14/10/2020 1:57
DHDHR32,ERI-2G CELL DOWN,14/10/2020 6:46,14/10/2020 6:52
DHDHR32,ERI-2G CELL DOWN,14/10/2020 6:46,14/10/2020 6:52
DHDHR32,ERI-2G CELL DOWN,14/10/2020 6:46,14/10/2020 6:52
DHDHR32,ERI-2G CELL DOWN,14/10/2020 8:50,14/10/2020 12:19
DHDHR32,ERI-2G CELL DOWN,14/10/2020 8:50,14/10/2020 12:19
DHDHR32,ERI-2G CELL DOWN,14/10/2020 8:50,14/10/2020 12:19
DHDHR32,ERI-2G CELL DOWN,14/10/2020 13:15,14/10/2020 13:19
DHDHR32,ERI-2G CELL DOWN,14/10/2020 13:15,14/10/2020 13:19
DHDHR32,ERI-2G CELL DOWN,14/10/2020 13:15,14/10/2020 13:19
DHDHR32,ERI-2G CELL DOWN,14/10/2020 13:37,14/10/2020 13:44
DHDHR32,ERI-2G CELL DOWN,14/10/2020 13:37,14/10/2020 13:44
DHDHR32,ERI-2G CELL DOWN,14/10/2020 13:37,14/10/2020 13:44
DHDHR32,ERI-2G CELL DOWN,14/10/2020 14:41,14/10/2020 14:51
DHDHR32,ERI-2G CELL DOWN,14/10/2020 14:41,14/10/2020 14:51
DHDHR32,ERI-2G CELL DOWN,14/10/2020 14:41,14/10/2020 14:51
DHDHR32,ERI-2G CELL DOWN,14/10/2020 15:27,14/10/2020 15:34
DHDHR32,ERI-2G CELL DOWN,14/10/2020 15:27,14/10/2020 15:34
DHDHR32,ERI-2G CELL DOWN,14/10/2020 15:27,14/10/2020 15:34
DHDHR32,ERI-2G CELL DOWN,14/10/2020 22:15,14/10/2020 22:21
DHDHR32,ERI-2G CELL DOWN,14/10/2020 22:15,14/10/2020 22:21
DHDHR32,ERI-2G CELL DOWN,14/10/2020 22:15,14/10/2020 22:21
DHDHR32,ERI-2G CELL DOWN,14/10/2020 22:29,14/10/2020 22:51
DHDHR32,ERI-2G CELL DOWN,14/10/2020 22:29,14/10/2020 22:51
DHDHR32,ERI-2G CELL DOWN,14/10/2020 22:29,14/10/2020 22:51
DHKDM36,ERI-2G CELL DOWN,14/10/2020 9:50,14/10/2020 10:26
DHKDM36,ERI-2G CELL DOWN,14/10/2020 9:50,14/10/2020 10:26
DHKDM36,ERI-2G CELL DOWN,14/10/2020 9:50,14/10/2020 10:26
DHKDM36,ERI-2G CELL DOWN,14/10/2020 13:54,14/10/2020 13:59
DHKDM36,ERI-2G CELL DOWN,14/10/2020 13:54,14/10/2020 13:59
DHKDM36,ERI-2G CELL DOWN,14/10/2020 13:54,14/10/2020 13:59
DHKDM36,ERI-2G CELL DOWN,14/10/2020 14:45,14/10/2020 14:56
DHKDM36,ERI-2G CELL DOWN,14/10/2020 14:45,14/10/2020 14:56
DHKDM36,ERI-2G CELL DOWN,14/10/2020 14:45,14/10/2020 14:56
