scode,state,thana,district
BHBRN,BAR,Burhanuddin,Bhola
BHCFN,BAR,Char Fasson,Bhola
BHDLT,BAR,Daulat Khan,Bhola
BHLMN,BAR,Lalmohan,Bhola
BHMNP,BAR,Manpura,Bhola
BHSDR,BAR,Barisal Sadar (kotwali),Barisal
BHTMN,BAR,Tazumuddin,Bhola
BRAMT,BAR,Amtali,Barguna
BRBMN,BAR,Bamna,Barguna
BRBTG,BAR,Betagi,Barguna
BRPTG,BAR,Patharghata,Barguna
BRSDR,BAR,Barguna Sadar,Barguna
BSAGL,BAR,Agailjhara,Barisal
BSBBG,BAR,Babuganj,Barisal
BSBKG,BAR,Bakerganj,Barisal
BSBNP,BAR,Banari Para,Barisal
BSGND,BAR,Gaurnadi,Barisal
BSHZL,BAR,Hizla,Barisal
BSMDG,BAR,Mehendiganj,Barisal
BSMLD,BAR,Muladi,Barisal
BSSDR,BAR,Barishal Sadar,Barishal
BSWZP,BAR,Wazirpur,Barisal
JKKTL,BAR,Kanthalia,Jhalokati
JKNCT,BAR,Nalchity,Jhalokati
JKRZP,BAR,Rajapur,Jhalokati
JKSDR,BAR,Jhalokati Sadar,Jhalokati
MDKLK,BAR,Kalkini,Madaripur
MDRJR,BAR,Rajoir,Madaripur
MDSDR,BAR,Madaripur Sadar,Madaripur
MDSHB,BAR,Shib Char,Madaripur
PPBND,BAR,Bhandaria,Pirojpur
PPKKL,BAR,Kawkhali,Patuakhali
PPMTB,BAR,Mathbaria,Pirojpur
PPNSB,BAR,Nesarabad (swarupkati),Patuakhali
PPNZP,BAR,Nazirpur,Pirojpur
PPSDR,BAR,Pirojpur Sadar,Pirojpur
PPZNG,BAR,Zianagar,Pirojpur
PTBFL,BAR,Bauphal,Patuakhali
PTDMK,BAR,Dumki,Patuakhali
PTDMN,BAR,Dashmina,Patuakhali
PTGCP,BAR,Galachipa,Patuakhali
PTKLP,BAR,Kala Para,Patuakhali
PTMZG,BAR,Mirzaganj,Patuakhali
PTSDR,BAR,Patuakhali Sadar,Patuakhali
SPBDG,BAR,Bhedarganj,Shariatpur
SPDMD,BAR,Damudya,Shariatpur
SPGSR,BAR,Gosairhat,Shariatpur
SPNRA,BAR,Naria,Shariatpur
SPSDR,BAR,Shariatpur Sadar,Shariatpur
SPZNR,BAR,Zanjira,Shariatpur
CMBMP,COM,Brahman Para,Comilla
CMBRC,COM,Burichang,Comilla
CMBRR,COM,Barura,Comilla
CMCND,COM,Chandina,Comilla
CMDBD,COM,Debidwar,Comilla
CMDKN,COM,Daudkandi,Comilla
CMHMN,COM,Homna,Comilla
CMLXM,COM,Laksam,Comilla
CMMDN,COM,Muradnagar,Comilla
CMMGN,COM,Meghna,Comilla
CMMHG,COM,Manoharganj,Comilla
CMNKT,COM,Nangalkot,Comilla
CMSDD,COM,Comilla Sadar Dakshin,Comilla
CMSDR,COM,Comilla Adarsha Sadar,Comilla
CMTTS,COM,Titas,Comilla
CPFDG,COM,Faridganj,Chandpur
CPHGN,COM,Hajiganj,Chandpur
CPHMC,COM,Haim Char,Chandpur
CPKCH,COM,Kachua,Chandpur
CPMTB,COM,Matlab Dakshin,Comilla
CPSDR,COM,Chandpur Sadar,Chandpur
CPSRT,COM,Shahrasti,Chandpur
CPUMT,COM,Uttar Matlab,Comilla
CGBAK,CTG_M,Bakalia,Chittagong
CGBYZ,CTG_M,Bayejid Bostami,Chittagong
CGCDG,CTG_M,Chandgaon,Chittagong
CGDMG,CTG_M,Double Mooring,Chittagong
CGHLS,CTG_M,Halishahar,Chittagong
CGKHL,CTG_M,Khulshi,Chittagong
CGKTL,CTG_M,Kotwali,Chittagong
CGPCH,CTG_M,Panchlaish,Chittagong
CGPRT,CTG_M,Chittagong Port,Chittagong
CGPTG,CTG_M,Patenga,Chittagong
CGPTL,CTG_M,Pahartali,Chittagong
CGFTK,CTG_N,Fatikchhari,Chittagong
CGHTZ,CTG_N,Hathazari,Chittagong
CGMIR,CTG_N,Mirsharai,Chittagong
CGRNG,CTG_N,Rangunia,Chittagong
CGRZN,CTG_N,Raozan,Chittagong
CGSDP,CTG_N,Sandwip,Chittagong
CGSKD,CTG_N,Sitakunda,Chittagong
KCDGN,CTG_N,Dighinala,Khagrachhari
KCLXC,CTG_N,Lakshmichhari,Khagrachhari
KCMHC,CTG_N,Mahalchari,Khagrachhari
KCMKC,CTG_N,Manikchhari,Khagrachhari
KCMTR,CTG_N,Matiranga,Khagrachhari
KCPNC,CTG_N,Panchhari,Khagrachhari
KCRMG,CTG_N,Ramgarh,Khagrachhari
KCSDR,CTG_N,Khagrachhari Sadar,Khagrachhari
RMBGC,CTG_N,Belai Chhari,Rangamati
RMBLC,CTG_N,Barkal,Rangamati
RMBRK,CTG_N,Jurai Chhari,Rangamati
RMJCR,CTG_N,Kawkhali (betbunia),Rangamati
RMKKL,CTG_N,Kaptai,Rangamati
RMKPT,CTG_N,Langadu,Rangamati
